window_start,src_ip,flow_count,unique_dst_ips,unique_dst_ports,port_entropy,avg_duration,total_bytes_sent,total_bytes_recv,bytes_per_sec,avg_packet_size,syn_ratio,failed_ratio,flow_rate_per_sec,interval_cv,night_ratio,admin_port_ratio,true_label,true_attack_type,ewma_score,ewma_top_deviation
2026-08-10 00:00:00,10.0.0.1,1,1,1,-1.4428232973175175e-12,0.3168488408396533,294,1564,4.9,17.352941176470587,1.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.6,1,1,1,-1.4428232973175175e-12,1.7944914478549956,4173,11481,69.55,260.875,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.40,1,1,1,-1.4428232973175175e-12,7.106159330488981,5325,13758,88.75,532.6,1.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.4,1,1,1,-1.4428232973175175e-12,4.409760502443298,6008,35512,100.13333333333334,500.75,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.17,1,1,1,-1.4428232973175175e-12,4.361836745966334,1206,2004,20.1,100.58333333333333,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.11,1,1,1,-1.4428232973175175e-12,0.7137495450050697,307,1427,5.116666666666666,12.833333333333334,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.38,1,1,1,-1.4428232973175175e-12,9.003187814908603,2076,4281,34.6,103.85,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:00:00,10.0.0.25,1,1,1,-1.4428232973175175e-12,17.092091781286438,2487,5784,41.45,138.22222222222223,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:01:00,10.0.0.22,1,1,1,-1.4428232973175175e-12,3.366695054538982,2086,6309,34.766666666666666,90.73913043478261,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
2026-08-10 00:01:00,10.0.0.21,1,1,1,-1.4428232973175175e-12,0.7540505637887249,3573,18220,59.55,155.3913043478261,0.0,0.0,0.016666666666666666,1.0,1.0,0.0,benign,none,0.14185106490048782,flow_count (z=0.0)
