timestamp,src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,bytes_sent,bytes_recv,syn_flag,connection_failed,label,attack_type
2026-08-10 00:00:04.000000,10.0.0.25,23.197.167.112,36054,80,TCP,17.092091781286438,17,2487,5784,False,False,benign,none
2026-08-10 00:00:09.000000,10.0.0.6,6.197.86.169,51702,143,TCP,1.7944914478549956,15,4173,11481,False,False,benign,none
2026-08-10 00:00:11.000000,10.0.0.1,125.168.186.107,43360,53,UDP,0.3168488408396533,16,294,1564,True,False,benign,none
2026-08-10 00:00:36.000000,10.0.0.17,70.116.135.63,27590,8443,TCP,4.361836745966334,11,1206,2004,False,False,benign,none
2026-08-10 00:00:37.000000,10.0.0.4,184.35.244.244,11036,110,TCP,4.409760502443298,11,6008,35512,False,False,benign,none
2026-08-10 00:00:39.000000,10.0.0.40,131.33.214.115,53171,993,TCP,7.106159330488981,9,5325,13758,True,False,benign,none
2026-08-10 00:00:47.000000,10.0.0.11,69.61.253.190,37950,8080,TCP,0.7137495450050697,23,307,1427,False,False,benign,none
2026-08-10 00:00:58.000000,10.0.0.38,61.174.162.36,36393,995,TCP,9.003187814908603,19,2076,4281,False,False,benign,none
2026-08-10 00:01:00.000000,10.0.0.4,201.115.188.70,48998,53,UDP,13.411726047410953,17,3366,16604,True,False,benign,none
2026-08-10 00:01:28.000000,10.0.0.7,164.146.242.106,31971,443,TCP,1.0297680830696132,10,2893,5381,False,False,benign,none
2026-08-10 00:01:28.000000,10.0.0.37,112.170.167.120,12695,25,TCP,5.487878398499307,6,5593,20727,False,False,benign,none
2026-08-10 00:01:29.000000,10.0.0.2,214.99.229.74,5672,80,TCP,6.238945777196691,7,5134,11697,False,False,benign,none
2026-08-10 00:01:32.000000,10.0.0.36,156.151.75.6,55502,8443,TCP,5.274734939383261,15,2116,11270,False,False,benign,none
2026-08-10 00:01:39.000000,10.0.0.37,71.34.5.173,54017,995,TCP,17.567959657082362,14,4588,26904,False,False,benign,none
2026-08-10 00:01:50.000000,10.0.0.22,71.34.5.173,40244,443,TCP,3.366695054538982,22,2086,6309,False,False,benign,none
2026-08-10 00:01:54.000000,10.0.0.1,46.42.136.12,5966,8080,TCP,16.22385211953796,13,2201,4486,False,False,benign,none
2026-08-10 00:01:55.000000,10.0.0.28,39.227.24.191,20863,110,TCP,1.990972835975908,17,362,1553,False,False,benign,none
2026-08-10 00:01:57.000000,10.0.0.21,196.84.117.137,25791,995,TCP,0.7540505637887249,22,3573,18220,False,False,benign,none
2026-08-10 00:01:59.000000,10.0.0.18,64.68.16.36,21084,110,TCP,7.703070862221524,17,4248,6577,False,False,benign,none
2026-08-10 00:02:23.000000,10.0.0.5,21.25.114.230,58216,143,TCP,4.251930986768287,8,263,1350,False,False,benign,none
2026-08-10 00:02:26.000000,10.0.0.33,61.77.174.161,48753,80,TCP,7.059344605959139,6,4588,21607,False,False,benign,none
2026-08-10 00:02:44.000000,10.0.0.36,139.4.25.116,31019,8080,TCP,6.196829235240939,14,7186,28740,False,False,benign,none
2026-08-10 00:02:44.000000,10.0.0.16,171.233.217.123,4182,25,TCP,0.5806494149660036,16,4080,15568,False,False,benign,none
2026-08-10 00:02:45.000000,10.0.0.17,187.223.202.217,29987,8080,TCP,9.587475043911345,12,8027,42864,False,False,benign,none
2026-08-10 00:03:06.000000,10.0.0.15,105.83.231.95,64277,80,TCP,0.8106028984680052,17,3190,18554,False,False,benign,none
2026-08-10 00:03:09.000000,10.0.0.1,196.212.111.205,39566,143,TCP,2.8017984523664525,13,3122,16501,False,False,benign,none
2026-08-10 00:03:14.000000,10.0.0.37,2.238.241.62,45101,8080,TCP,2.915937699768875,13,1149,4105,False,False,benign,none
2026-08-10 00:03:17.000000,10.0.0.14,132.126.60.153,16190,25,TCP,3.4169302813181726,21,40,166,False,False,benign,none
2026-08-10 00:03:23.000000,10.0.0.32,173.198.194.50,46064,8080,TCP,1.924212769185252,13,5618,8468,True,False,benign,none
2026-08-10 00:03:28.000000,10.0.0.38,184.210.110.76,44542,143,TCP,3.0953496860310965,11,7745,34373,False,False,benign,none
2026-08-10 00:03:36.000000,10.0.0.2,48.84.168.37,45373,443,TCP,6.278115659308329,4,40,103,False,False,benign,none
2026-08-10 00:03:51.000000,10.0.0.10,169.110.79.160,56565,25,TCP,0.6837057331868495,20,5050,25572,False,False,benign,none
2026-08-10 00:03:56.000000,10.0.0.18,120.180.71.199,42024,80,TCP,29.549988972827702,8,3497,10164,True,False,benign,none
2026-08-10 00:04:01.000000,10.0.0.29,24.143.202.78,47806,993,TCP,9.892990924044517,18,4638,19350,True,False,benign,none
